first_vertex_id,second_vertex_id,time_cost,fare_cost,type,line_id,bike_time_cost
0,1,2,0.36,METRO,0,-1
1,2,3,0.42,METRO,0,-1
2,3,3,0.42,METRO,0,-1
3,4,2,0.34,METRO,0,-1
4,5,2,0.36,METRO,0,-1
5,6,3,0.37,METRO,0,-1
6,7,2,0.32,METRO,0,-1
7,8,2,0.35,METRO,0,-1
8,9,2,0.35,METRO,0,-1
9,10,2,0.37,METRO,0,-1
10,11,2,0.36,METRO,0,-1
11,12,2,0.35,METRO,0,-1
13,14,4,0.4,METRO,1,-1
14,15,3,0.32,METRO,1,-1
15,16,2,0.3,METRO,1,-1
16,17,2,0.25,METRO,1,-1
17,18,2,0.29,METRO,1,-1
18,19,3,0.33,METRO,1,-1
19,20,2,0.31,METRO,1,-1
20,21,2,0.32,METRO,1,-1
21,22,2,0.31,METRO,1,-1
22,23,3,0.34,METRO,1,-1
23,24,5,0.5,METRO,1,-1
24,25,3,0.38,METRO,1,-1
25,26,4,0.52,METRO,1,-1
26,27,4,0.44,METRO,1,-1
27,28,4,0.46,METRO,1,-1
28,29,6,0.7,METRO,1,-1
29,30,3,0.4,METRO,1,-1
31,32,2,0.27,METRO,2,-1
32,33,2,0.27,METRO,2,-1
33,34,4,0.45,METRO,2,-1
34,35,3,0.3,METRO,2,-1
35,36,2,0.29,METRO,2,-1
36,37,3,0.33,METRO,2,-1
37,38,2,0.26,METRO,2,-1
38,39,2,0.29,METRO,2,-1
39,40,2,0.29,METRO,2,-1
40,41,2,0.32,METRO,2,-1
41,42,2,0.32,METRO,2,-1
42,43,2,0.29,METRO,2,-1
43,44,3,0.36,METRO,2,-1
44,45,3,0.35,METRO,2,-1
45,46,3,0.36,METRO,2,-1
46,47,3,0.36,METRO,2,-1
48,49,3,0.68,METRO,3,-1
49,50,2,0.61,METRO,3,-1
50,51,2,0.6,METRO,3,-1
51,52,2,0.6,METRO,3,-1
52,53,2,0.59,METRO,3,-1
53,54,2,0.61,METRO,3,-1
74,59,17,0.67,BUS,4,-1
59,60,3,0.67,BUS,4,-1
60,61,1,0.66,BUS,4,-1
74,75,3,0.18,BUS,5,-1
75,76,2,0.18,BUS,5,-1
76,77,3,0.18,BUS,5,-1
77,78,2,0.18,BUS,5,-1
78,79,2,0.18,BUS,5,-1
79,80,2,0.18,BUS,5,-1
80,81,3,0.18,BUS,5,-1
81,82,3,0.18,BUS,5,-1
82,83,2,0.18,BUS,5,-1
83,84,3,0.18,BUS,5,-1
84,59,2,0.2,BUS,5,-1
59,74,20,0.4,BUS,6,-1
74,85,34,0.4,BUS,6,-1
85,86,7,0.4,BUS,6,-1
86,87,7,0.4,BUS,6,-1
87,88,56,0.4,BUS,6,-1
59,73,4,0.5,BUS,7,-1
73,72,4,0.5,BUS,7,-1
72,71,3,0.5,BUS,7,-1
71,70,4,0.5,BUS,7,-1
64,65,3,0.4,BUS,8,-1
65,66,3,0.4,BUS,8,-1
66,67,3,0.4,BUS,8,-1
67,68,3,0.4,BUS,8,-1
68,69,3,0.4,BUS,8,-1
70,59,8,0,BUS,9,-1
59,60,3,0,BUS,9,-1
60,61,2,0,BUS,9,-1
56,89,45,5,BUS,10,-1
56,91,60,5,BUS,11,-1
55,0,11,0,TRANSFER,-1,-1
55,13,11,0,TRANSFER,-1,-1
55,1,14,0,TRANSFER,-1,-1
0,13,3,0,TRANSFER,-1,-1
2,48,4,0,TRANSFER,-1,-1
5,31,3,0,TRANSFER,-1,-1
16,37,15,0,TRANSFER,-1,-1
18,39,2,0,TRANSFER,-1,-1
12,88,12,0,TRANSFER,-1,5
47,74,5,0,TRANSFER,-1,-1
30,70,7,0,TRANSFER,-1,-1
29,64,2,0,TRANSFER,-1,-1
29,63,4,0,TRANSFER,-1,-1
63,62,21,0,TRANSFER,-1,8
29,62,25,0,TRANSFER,-1,-1
69,62,3,0,TRANSFER,-1,-1
20,89,5,0,TRANSFER,-1,-1
54,90,5,0,TRANSFER,-1,-1
16,87,7,0,TRANSFER,-1,-1
91,88,15,0,TRANSFER,-1,6
59,56,15,0,TRANSFER,-1,6
59,57,5,0,TRANSFER,-1,-1
59,58,19,0,TRANSFER,-1,10
60,56,3,0,TRANSFER,-1,-1
60,57,5,0,TRANSFER,-1,-1
61,58,3,0,TRANSFER,-1,-1
62,56,10,0,TRANSFER,-1,4
62,58,11,0,TRANSFER,-1,5
62,57,20,0,TRANSFER,-1,10
