draw_order,vertex_id,entity_name,anchor_x,anchor_y,label_left,label_top,label_right,label_bottom,text_width,text_height,line_number,first_line,second_line,leader,leader_start_x,leader_start_y,leader_end_x,leader_end_y
0,50,人民广场,1765,1048,1669,1043,1749,1065,80,22,1,人民广场,,0,0,0,0,0
1,40,铜川路,1303,913,1261,867,1321,889,60,22,1,铜川路,,0,0,0,0,0
2,51,新闸路,1723,1006,1649,1007,1709,1029,60,22,1,新闸路,,0,0,0,0,0
3,87,曹杨路兰溪路,1412,1011,1272,1031,1392,1053,120,22,1,曹杨路兰溪路,,0,0,0,0,0
4,2,陕西南路,1669,1167,1575,1144,1655,1166,80,22,1,陕西南路,,0,0,0,0,0
5,68,昌吉东路安虹北路,266,579,226,533,306,555,80,22,1,安虹北路,,0,0,0,0,0
6,86,曹杨八村,1373,962,1281,933,1361,955,80,22,1,曹杨八村,,0,0,0,0,0
7,7,天潼路,1807,965,1821,954,1881,976,60,22,1,天潼路,,0,0,0,0,0
8,15,隆德路,1459,1066,1385,1067,1445,1089,60,22,1,隆德路,,0,0,0,0,0
9,67,于塘南路望融路,179,568,149,582,209,604,60,22,1,望融路,,0,0,0,0,0
10,33,一大会址·黄陂南路,1763,1125,1779,1114,1959,1136,180,22,1,一大会址·黄陂南路,,0,0,0,0,0
11,6,南京东路,1821,1006,1835,995,1915,1017,80,22,1,南京东路,,0,0,0,0,0
12,66,百安公路于塘南路,147,535,47,493,127,515,80,22,1,于塘南路,,0,0,0,0,0
13,85,真如西村,1342,972,1242,973,1322,995,80,22,1,真如西村,,0,0,0,0,0
14,16,曹杨路,1424,983,1432,953,1492,975,60,22,1,曹杨路,,0,0,0,0,0
15,32,大世界,1788,1089,1758,1060,1818,1082,60,22,1,大世界,,0,0,0,0,0
16,38,中宁路,1405,954,1413,924,1473,946,60,22,1,中宁路,,0,0,0,0,0
17,41,真光路,1228,892,1192,904,1252,926,60,22,1,真光路,,0,0,0,0,0
18,72,曹安公路安虹路,196,636,166,650,226,672,60,22,1,安虹路,,0,0,0,0,0
19,18,真如,1375,921,1371,881,1411,903,40,22,1,真如,,0,0,0,0,0
20,73,曹安公路二十三号桥,275,641,237,665,337,687,100,22,1,二十三号桥,,0,0,0,0,0
21,8,四川北路,1819,900,1833,889,1913,911,80,22,1,四川北路,,0,0,0,0,0
22,19,上海西站,1326,820,1340,809,1420,831,80,22,1,上海西站,,0,0,0,0,0
23,14,江苏路,1501,1143,1427,1132,1487,1154,60,22,1,江苏路,,0,0,0,0,0
24,17,枫桥路,1394,985,1318,1001,1378,1023,60,22,1,枫桥路,,0,0,0,0,0
25,34,静安寺,1594,1123,1522,1112,1582,1134,60,22,1,静安寺,,0,0,0,0,0
26,36,武宁路,1501,1037,1515,1026,1575,1048,60,22,1,武宁路,,0,0,0,0,0
27,52,汉中路,1667,978,1593,967,1653,989,60,22,1,汉中路,,0,0,0,0,0
28,65,百安公路双浦路,179,498,193,499,253,521,60,22,1,双浦路,,0,0,0,0,0
29,59,嘉定校区正门（绿苑路曹安公路）,338,592,298,604,378,648,80,44,2,绿苑路,曹安公路,0,0,0,0,0
30,77,曹安公路宝园五路,660,726,596,740,676,762,80,22,1,宝园五路,,0,0,0,0,0
31,83,曹安公路新黄公路,432,617,410,579,490,601,80,22,1,新黄公路,,0,0,0,0,0
32,84,曹安公路嘉松北路,399,602,391,638,431,682,40,44,2,嘉松,北路,1,399,614,399,638
33,35,武定路,1534,1092,1548,1069,1608,1091,60,22,1,武定路,,0,0,0,0,0
34,71,曹安公路于田路,123,620,93,644,153,666,60,22,1,于田路,,0,0,0,0,0
35,80,曹安公路联群路,546,672,514,686,554,730,40,44,2,联群,路,0,0,0,0,0
