id,name,type,x,y
0,交通大学（10号线）,METRO,675,545
1,上海图书馆（10号线）,METRO,703,525
2,陕西南路（10号线）,METRO,740,497
3,一大会址·新天地（10号线）,METRO,781,500
4,老西门（10号线）,METRO,803,492
5,豫园（10号线）,METRO,806,462
6,南京东路（10号线）,METRO,805,435
7,天潼路（10号线）,METRO,799,419
8,四川北路（10号线）,METRO,804,394
9,海伦路（10号线）,METRO,815,373
10,邮电新村（10号线）,METRO,829,346
11,四平路（10号线）,METRO,848,327
12,同济大学（10号线）,METRO,860,308
13,交通大学（11号线）,METRO,685,538
14,江苏路（11号线）,METRO,668,488
15,隆德路（11号线）,METRO,650,458
16,曹杨路（11号线）,METRO,635,426
17,枫桥路（11号线）,METRO,622,427
18,真如（11号线）,METRO,614,402
19,上海西站（11号线）,METRO,593,363
20,李子园（11号线）,METRO,564,345
21,祁连山路（11号线）,METRO,530,337
22,武威路（11号线）,METRO,502,322
23,桃浦新村（11号线）,METRO,464,307
24,南翔（11号线）,METRO,397,262
25,陈翔公路（11号线）,METRO,356,234
26,马陆（11号线）,METRO,281,195
27,嘉定新城（11号线）,METRO,224,164
28,上海赛车场（11号线）,METRO,153,158
29,昌吉东路（11号线）,METRO,87,269
30,上海汽车城（11号线）,METRO,37,296
31,豫园（14号线）,METRO,817,468
32,大世界（14号线）,METRO,791,467
33,一大会址·黄陂南路（14号线）,METRO,780,481
34,静安寺（14号线）,METRO,708,480
35,武定路（14号线）,METRO,682,468
36,武宁路（14号线）,METRO,668,447
37,曹杨路（14号线）,METRO,642,435
38,中宁路（14号线）,METRO,627,415
39,真如（14号线）,METRO,604,395
40,铜川路（14号线）,METRO,583,399
41,真光路（14号线）,METRO,551,391
42,真新新村（14号线）,METRO,520,384
43,定边路（14号线）,METRO,496,382
44,嘉怡路（14号线）,METRO,454,373
45,临洮路（14号线）,METRO,417,362
46,乐秀路（14号线）,METRO,374,355
47,封浜（14号线）,METRO,331,349
48,陕西南路（1号线）,METRO,738,509
49,一大会址·黄陂南路（1号线）,METRO,770,474
50,人民广场（1号线）,METRO,781,451
51,新闸路（1号线）,METRO,763,435
52,汉中路（1号线）,METRO,739,424
53,上海火车站（1号线）,METRO,737,402
54,中山北路（1号线）,METRO,740,374
55,武康大楼,BUS,699,541
56,嘉定校区教学楼,BUS,131,304
57,嘉定校区济事楼,BUS,135,316
58,友园8寝室,BUS,151,297
59,嘉定校区正门（绿苑路曹安公路）,BUS,123,317
60,仰望星空,BUS,138,294
61,7号楼候车点,BUS,143,306
62,嘉定校区北门,BUS,147,284
63,大桥东侧骑车点,BUS,123,278
64,公交昌吉东路站,BUS,100,274
65,百安公路双浦路,BUS,89,281
66,百安公路于塘南路,BUS,78,289
67,于塘南路望融路,BUS,75,276
68,昌吉东路安虹北路,BUS,113,284
69,昌吉东路绿苑路,BUS,135,282
70,曹安公路安谐路,BUS,50,297
71,曹安公路于田路,BUS,62,300
72,曹安公路安虹路,BUS,93,302
73,曹安公路二十三号桥,BUS,115,303
74,封浜公交站,BUS,343,354
75,曹安公路翔江路,BUS,297,348
76,曹安公路曹丰路,BUS,279,340
77,曹安公路宝园五路,BUS,263,332
78,曹安公路宝园七路,BUS,241,329
79,曹安公路联西路,BUS,225,331
80,曹安公路联群路,BUS,208,333
81,曹安公路星塔路,BUS,195,335
82,曹安公路许家东街村,BUS,177,337
83,曹安公路新黄公路,BUS,154,332
84,曹安公路嘉松北路,BUS,142,327
85,真如西村,BUS,600,422
86,曹杨八村,BUS,613,418
87,曹杨路兰溪路,BUS,630,437
88,国康路四平路,BUS,863,296
89,同济大学沪西校区教师班车点,BUS,577,341
90,同济大学沪北校区,BUS,752,371
91,四平路校区西南门停车场,BUS,847,311
92,嘉定校区正门（绿苑路曹安公路）,BUS,123,317
93,仰望星空,BUS,138,294
94,7号楼候车点,BUS,143,306
95,封浜公交站,BUS,343,354
96,嘉定校区正门（绿苑路曹安公路）,BUS,123,317
97,封浜公交站,BUS,343,354
98,曹安公路翔江路,BUS,297,348
99,曹安公路曹丰路,BUS,279,340
100,曹安公路宝园五路,BUS,263,332
101,曹安公路宝园七路,BUS,241,329
102,曹安公路联西路,BUS,225,331
103,曹安公路联群路,BUS,208,333
104,曹安公路星塔路,BUS,195,335
105,曹安公路许家东街村,BUS,177,337
106,曹安公路新黄公路,BUS,154,332
107,曹安公路嘉松北路,BUS,142,327
108,嘉定校区正门（绿苑路曹安公路）,BUS,123,317
109,封浜公交站,BUS,343,354
110,真如西村,BUS,600,422
111,曹杨八村,BUS,613,418
112,曹杨路兰溪路,BUS,630,437
113,国康路四平路,BUS,863,296
114,嘉定校区正门（绿苑路曹安公路）,BUS,123,317
115,曹安公路安谐路,BUS,50,297
116,曹安公路于田路,BUS,62,300
117,曹安公路安虹路,BUS,93,302
118,曹安公路二十三号桥,BUS,115,303
119,公交昌吉东路站,BUS,100,274
120,百安公路双浦路,BUS,89,281
121,百安公路于塘南路,BUS,78,289
122,于塘南路望融路,BUS,75,276
123,昌吉东路安虹北路,BUS,113,284
124,昌吉东路绿苑路,BUS,135,282
125,嘉定校区正门（绿苑路曹安公路）,BUS,123,317
126,仰望星空,BUS,138,294
127,7号楼候车点,BUS,143,306
128,曹安公路安谐路,BUS,50,297
129,嘉定校区教学楼,BUS,131,304
130,同济大学沪西校区教师班车点,BUS,577,341
131,嘉定校区教学楼,BUS,131,304
132,四平路校区西南门停车场,BUS,847,311
